shape,position,space,own,equal,newBody,sameBody,nonThunk,onlyLeft,onlyRight
#levelTree,93,merge,1,0,0,0,1,0,0
#levelTree,93,mergeSort,1253,1236,4,4,0,9,0
#levelTree,94,inputTree,255,250,0,0,3,2,0
#levelTree,94,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,94,merge,1,0,0,0,1,0,0
#levelTree,94,mergeSort,1253,1164,59,5,0,25,18
#levelTree,95,inputTree,255,251,0,0,2,2,0
#levelTree,95,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,95,merge,1,0,0,0,1,0,0
#levelTree,95,mergeSort,1253,1226,12,4,0,11,1
#levelTree,96,inputTree,255,252,0,0,1,2,0
#levelTree,96,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,96,merge,1,0,0,0,1,0,0
#levelTree,96,mergeSort,1253,1226,11,3,0,13,0
#levelTree,97,inputTree,255,252,0,0,1,2,0
#levelTree,97,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,97,merge,1,0,0,0,1,0,0
#levelTree,97,mergeSort,1253,1228,11,5,0,9,0
#levelTree,98,inputTree,255,249,0,0,4,2,0
#levelTree,98,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,98,merge,1,0,0,0,1,0,0
#levelTree,98,mergeSort,1253,1202,31,2,0,18,8
#levelTree,99,inputTree,255,252,0,0,1,2,0
#levelTree,99,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,99,merge,1,0,0,0,1,0,0
#levelTree,99,mergeSort,1253,1225,17,2,0,9,0
#levelTree,100,inputTree,255,249,0,0,4,2,0
#levelTree,100,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,100,merge,1,0,0,0,1,0,0
#levelTree,100,mergeSort,1253,1214,23,3,0,13,5
#levelTree,101,inputTree,255,251,0,0,2,2,0
#levelTree,101,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,101,merge,1,0,0,0,1,0,0
#levelTree,101,mergeSort,1253,1224,13,4,0,12,0
#levelTree,102,inputTree,255,251,0,0,2,2,0
#levelTree,102,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,102,merge,1,0,0,0,1,0,0
#levelTree,102,mergeSort,1253,1224,11,5,0,13,1
#levelTree,103,inputTree,255,252,0,0,1,2,0
#levelTree,103,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,103,merge,1,0,0,0,1,0,0
#levelTree,103,mergeSort,1253,1228,7,6,0,12,0
#levelTree,104,inputTree,255,252,0,0,1,2,0
#levelTree,104,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,104,merge,1,0,0,0,1,0,0
#levelTree,104,mergeSort,1253,1223,15,2,0,13,0
#levelTree,105,inputTree,255,246,0,0,7,2,0
#levelTree,105,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,105,merge,1,0,0,0,1,0,0
#levelTree,105,mergeSort,1253,1014,185,2,0,52,42
#levelTree,106,inputTree,255,252,0,0,1,2,0
#levelTree,106,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,106,merge,1,0,0,0,1,0,0
#levelTree,106,mergeSort,1253,1225,14,5,0,9,0
#levelTree,107,inputTree,255,252,0,0,1,2,0
#levelTree,107,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,107,merge,1,0,0,0,1,0,0
#levelTree,107,mergeSort,1253,1235,8,2,0,8,0
#levelTree,108,inputTree,255,252,0,0,1,2,0
#levelTree,108,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,108,merge,1,0,0,0,1,0,0
#levelTree,108,mergeSort,1253,1222,22,1,0,8,0
#levelTree,109,inputTree,255,249,0,0,4,2,0
#levelTree,109,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,109,merge,1,0,0,0,1,0,0
#levelTree,109,mergeSort,1253,1155,67,1,0,30,9
#levelTree,110,inputTree,255,252,0,0,1,2,0
#levelTree,110,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,110,merge,1,0,0,0,1,0,0
#levelTree,110,mergeSort,1253,1229,13,3,0,8,0
#levelTree,111,inputTree,255,250,0,0,3,2,0
#levelTree,111,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,111,merge,1,0,0,0,1,0,0
#levelTree,111,mergeSort,1253,1227,13,3,0,10,2
#levelTree,112,inputTree,255,252,0,0,1,2,0
#levelTree,112,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,112,merge,1,0,0,0,1,0,0
#levelTree,112,mergeSort,1253,1235,5,4,0,9,0
#levelTree,113,inputTree,255,249,0,0,4,2,0
#levelTree,113,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,113,merge,1,0,0,0,1,0,0
#levelTree,113,mergeSort,1253,1173,47,6,0,27,21
#levelTree,114,inputTree,255,251,0,0,2,2,0
#levelTree,114,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,114,merge,1,0,0,0,1,0,0
#levelTree,114,mergeSort,1253,1222,18,2,0,11,2
#levelTree,115,inputTree,255,251,0,0,2,2,0
#levelTree,115,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,115,merge,1,0,0,0,1,0,0
#levelTree,115,mergeSort,1253,1224,7,8,0,14,1
#levelTree,116,inputTree,255,252,0,0,1,2,0
#levelTree,116,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,116,merge,1,0,0,0,1,0,0
#levelTree,116,mergeSort,1253,1225,9,6,0,13,0
#levelTree,117,inputTree,255,252,0,0,1,2,0
#levelTree,117,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,117,merge,1,0,0,0,1,0,0
#levelTree,117,mergeSort,1253,1224,12,5,0,12,0
#levelTree,118,inputTree,255,250,0,0,3,2,0
#levelTree,118,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,118,merge,1,0,0,0,1,0,0
#levelTree,118,mergeSort,1253,1216,19,4,0,14,1
#levelTree,119,inputTree,255,252,0,0,1,2,0
#levelTree,119,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,119,merge,1,0,0,0,1,0,0
#levelTree,119,mergeSort,1253,1230,7,5,0,11,0
#levelTree,120,inputTree,255,251,0,0,2,2,0
#levelTree,120,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,120,merge,1,0,0,0,1,0,0
