seed,size,pos,left,right,onlyLeft,onlyRight,equal,notEqual
13975,64,38,320,316,4,0,291,25
15611,64,19,320,316,4,0,308,8
9524,64,21,320,316,4,0,310,6
18492,64,10,320,316,4,0,302,14
2195,64,7,320,316,4,0,307,9
18978,64,54,320,316,4,0,308,8
3137,64,31,320,316,4,0,306,10
1628,64,43,320,316,4,0,296,20
12119,64,37,320,316,4,0,305,11
3035,64,56,320,316,4,0,306,10
19521,64,15,320,316,4,0,306,10
14665,64,41,320,316,4,0,307,9
2870,64,40,320,316,4,0,308,8
12991,64,44,320,316,4,0,310,6
9100,64,24,320,316,4,0,303,13
7527,64,2,320,316,4,0,310,6
12357,64,44,320,316,4,0,310,6
18188,64,19,320,316,4,0,308,8
16208,64,56,320,316,4,0,306,10
4923,64,10,320,316,4,0,302,14
3745,64,4,320,316,4,0,310,6
4738,64,44,320,316,4,0,310,6
3567,64,42,320,316,4,0,306,10
18492,64,24,320,316,4,0,303,13
17759,64,16,320,316,4,0,310,6
4596,64,44,320,316,4,0,310,6
13010,64,40,320,316,4,0,308,8
18002,64,30,320,316,4,0,310,6
7611,64,45,320,316,4,0,308,8
6996,64,51,320,316,4,0,305,11
7455,64,44,320,316,4,0,310,6
2029,64,29,320,316,4,0,310,6
1589,64,61,320,316,4,0,305,11
586,64,26,320,316,4,0,308,8
12958,64,26,320,316,4,0,308,8
5536,64,8,320,316,4,0,307,9
2447,64,26,320,316,4,0,308,8
6372,64,9,320,316,4,0,307,9
7930,64,51,320,316,4,0,305,11
6071,64,33,320,316,4,0,298,18
14119,64,45,320,316,4,0,308,8
10091,64,50,320,316,4,0,308,8
16650,64,29,320,316,4,0,310,6
9818,64,41,320,316,4,0,307,9
9468,64,27,320,316,4,0,308,8
4693,64,2,320,316,4,0,310,6
3110,64,59,320,316,4,0,308,8
19580,64,45,320,316,4,0,308,8
13674,64,12,320,316,4,0,298,18
20402,64,50,320,316,4,0,308,8
11158,64,46,320,316,4,0,308,8
13065,64,24,320,316,4,0,303,13
19907,64,36,320,316,4,0,310,6
2057,64,8,320,316,4,0,307,9
6264,64,59,320,316,4,0,308,8
16365,64,26,320,316,4,0,308,8
20068,64,6,320,316,4,0,308,8
5014,64,27,320,316,4,0,308,8
16396,64,53,320,316,4,0,308,8
20344,64,37,320,316,4,0,305,11
16534,64,51,320,316,4,0,305,11
10689,64,48,320,316,4,0,308,8
15673,64,6,320,316,4,0,308,8
4477,64,17,320,316,4,0,297,19
11155,64,62,320,316,4,0,310,6
10043,64,37,320,316,4,0,305,11
969,64,35,320,316,4,0,308,8
8374,64,27,320,316,4,0,308,8
4887,64,30,320,316,4,0,310,6
15288,64,12,320,316,4,0,298,18
17021,64,49,320,316,4,0,308,8
645,64,24,320,316,4,0,303,13
10604,64,51,320,316,4,0,305,11
5382,100,13,500,496,4,0,490,6
8676,100,6,500,496,4,0,488,8
18612,100,95,500,496,4,0,486,10
3546,100,51,500,496,4,0,485,11
12813,100,10,500,496,4,0,482,14
10857,100,84,500,496,4,0,490,6
5939,100,63,500,496,4,0,483,13
10962,100,82,500,496,4,0,490,6
2577,100,91,500,496,4,0,488,8
8182,100,35,500,496,4,0,488,8
13954,100,91,500,496,4,0,488,8
10342,100,35,500,496,4,0,488,8
13166,100,11,500,496,4,0,487,9
17622,100,12,500,496,4,0,478,18
17838,100,55,500,496,4,0,490,6
7324,100,35,500,496,4,0,488,8
15236,100,38,500,496,4,0,471,25
18390,100,48,500,496,4,0,488,8
5123,100,47,500,496,4,0,476,20
9210,100,75,500,496,4,0,487,9
10977,100,76,500,496,4,0,479,17
302,100,19,500,496,4,0,488,8
19431,100,43,500,496,4,0,474,22
3338,100,12,500,496,4,0,478,18
12677,100,48,500,496,4,0,488,8
17502,100,52,500,496,4,0,484,12
13983,100,72,500,496,4,0,490,6
2319,100,21,500,496,4,0,490,6
14113,100,53,500,496,4,0,488,8
2784,100,36,500,496,4,0,490,6
10431,100,20,500,496,4,0,490,6
13343,100,22,500,496,4,0,485,11
5309,100,22,500,496,4,0,485,11
17636,100,63,500,496,4,0,483,13
633,100,99,500,496,4,0,490,6
6976,100,43,500,496,4,0,474,22
9570,100,9,500,496,4,0,487,9
19151,100,54,500,496,4,0,488,8
1102,100,61,500,496,4,0,485,11
8542,100,27,500,496,4,0,488,8
3729,100,82,500,496,4,0,490,6
9652,100,92,500,496,4,0,482,14
6401,100,3,500,496,4,0,470,26
15072,100,94,500,496,4,0,477,19
4792,100,74,500,496,4,0,490,6
18615,100,24,500,496,4,0,483,13
19287,100,48,500,496,4,0,488,8
7366,100,16,500,496,4,0,490,6
15665,100,75,500,496,4,0,487,9
1143,100,39,500,496,4,0,469,27
2204,100,65,500,496,4,0,490,6
1428,100,21,500,496,4,0,490,6
3305,100,5,500,496,4,0,486,10
4853,100,69,500,496,4,0,490,6
6328,100,100,500,496,4,0,488,8
5962,100,81,500,496,4,0,466,30
11077,100,68,500,496,4,0,474,22
3442,100,78,500,496,4,0,485,11
12802,100,12,500,496,4,0,478,18
14568,100,43,500,496,4,0,474,22
10160,100,48,500,496,4,0,488,8
4101,100,90,500,496,4,0,488,8
8819,100,21,500,496,4,0,490,6
443,100,16,500,496,4,0,490,6
19280,100,49,500,496,4,0,488,8
9867,100,62,500,496,4,0,490,6
15038,100,22,500,496,4,0,485,11
19153,100,89,500,496,4,0,486,10
16765,100,39,500,496,4,0,469,27
2144,100,21,500,496,4,0,490,6
19067,100,51,500,496,4,0,485,11
14245,100,35,500,496,4,0,488,8
18669,100,8,500,496,4,0,487,9
12459,100,43,500,496,4,0,474,22
2136,100,52,500,496,4,0,484,12
16865,100,64,500,496,4,0,471,25
4858,100,22,500,496,4,0,485,11
13975,100,47,500,496,4,0,476,20
15611,100,10,500,496,4,0,482,14
9524,100,21,500,496,4,0,490,6
18492,100,28,500,496,4,0,479,17
2195,100,88,500,496,4,0,488,8
18978,100,81,500,496,4,0,466,30
3137,100,31,500,496,4,0,486,10
1628,100,97,500,496,4,0,487,9
12119,100,82,500,496,4,0,490,6
3035,100,65,500,496,4,0,490,6
19521,100,15,500,496,4,0,486,10
14665,100,59,500,496,4,0,488,8
2870,100,49,500,496,4,0,488,8
12991,100,89,500,496,4,0,486,10
9100,100,60,500,496,4,0,487,9
7527,100,47,500,496,4,0,476,20
12357,100,8,500,496,4,0,487,9
18188,100,10,500,496,4,0,482,14
16208,100,20,500,496,4,0,490,6
4923,100,82,500,496,4,0,490,6
3745,100,85,500,496,4,0,484,12
4738,100,35,500,496,4,0,488,8
3567,100,87,500,496,4,0,488,8
18492,100,69,500,496,4,0,490,6
17759,100,97,500,496,4,0,487,9
4596,100,62,500,496,4,0,490,6
13010,100,31,500,496,4,0,486,10
18002,100,84,500,496,4,0,490,6
7611,100,99,500,496,4,0,490,6
6996,100,60,500,496,4,0,487,9
7455,100,53,500,496,4,0,488,8
2029,100,29,500,496,4,0,490,6
1589,100,7,500,496,4,0,487,9
586,100,80,500,496,4,0,475,21
12958,100,17,500,496,4,0,477,19
5536,100,98,500,496,4,0,478,18
2447,100,98,500,496,4,0,478,18
6372,100,36,500,496,4,0,490,6
7930,100,6,500,496,4,0,488,8
6071,100,60,500,496,4,0,487,9
14119,100,72,500,496,4,0,490,6
10091,100,68,500,496,4,0,474,22
16650,100,83,500,496,4,0,484,12
9818,100,14,500,496,4,0,490,6
9468,100,27,500,496,4,0,488,8
4693,100,20,500,496,4,0,490,6
3110,100,95,500,496,4,0,486,10
19580,100,72,500,496,4,0,490,6
13674,100,3,500,496,4,0,470,26
20402,100,41,500,496,4,0,487,9
11158,100,55,500,496,4,0,490,6
13065,100,96,500,496,4,0,490,6
19907,100,72,500,496,4,0,490,6
2057,100,8,500,496,4,0,487,9
6264,100,86,500,496,4,0,465,31
16365,100,98,500,496,4,0,478,18
20068,100,24,500,496,4,0,483,13
5014,100,27,500,496,4,0,488,8
16396,100,98,500,496,4,0,478,18
20344,100,10,500,496,4,0,482,14
16534,100,96,500,496,4,0,490,6
10689,100,93,500,496,4,0,485,11
15673,100,60,500,496,4,0,487,9
4477,100,26,500,496,4,0,488,8
11155,100,80,500,496,4,0,475,21
10043,100,19,500,496,4,0,488,8
969,100,71,500,496,4,0,490,6
8374,100,45,500,496,4,0,488,8
4887,100,30,500,496,4,0,490,6
15288,100,30,500,496,4,0,490,6
17021,100,4,500,496,4,0,490,6
645,100,33,500,496,4,0,478,18
10604,100,6,500,496,4,0,488,8
5382,250,57,1250,1246,4,0,1236,10
1826,250,76,1250,1246,4,0,1229,17
11762,250,29,1250,1246,4,0,1240,6
3546,250,9,1250,1246,4,0,1237,9
5963,250,152,1250,1246,4,0,1238,8
10857,250,84,1250,1246,4,0,1240,6
5939,250,221,1250,1246,4,0,1240,6
10962,250,201,1250,1246,4,0,1234,12
9427,250,92,1250,1246,4,0,1232,14
8182,250,182,1250,1246,4,0,1240,6
254,250,133,1250,1246,4,0,1225,21
10342,250,223,1250,1246,4,0,1238,8
13166,250,129,1250,1246,4,0,1240,6
3922,250,3,1250,1246,4,0,1218,28
4138,250,86,1250,1246,4,0,1219,27
474,250,8,1250,1246,4,0,1237,9
8386,250,91,1250,1246,4,0,1238,8
4690,250,188,1250,1246,4,0,1235,11
5123,250,126,1250,1246,4,0,1227,19
9210,250,72,1250,1246,4,0,1240,6
4127,250,3,1250,1246,4,0,1218,28
302,250,164,1250,1246,4,0,1224,22
5731,250,73,1250,1246,4,0,1232,14
3338,250,53,1250,1246,4,0,1238,8
5827,250,152,1250,1246,4,0,1238,8
